MMCONO|MMDIVI|MMITNO|MMCFIS|MMIIPI|MMCIPI|MMXPI1|MMCPIS|MMRPIS|MMCOFI|MMXCCO|MMRCOF|MMXIMP|MMIORI|MMXSAT|MMRGDT|MMRGTM|MMLMDT|MMCHID|MMCHNO|MMEXIP|MMBICM|MMBCST|MMVPIS|MMVCOF|MMFCIN|MMGTIN|MMIMPA|MMEXOA|MMIMPE|MMUNMS|MMCOPI|MMXIPF|MMXICS|MMXITT|MMXSTP|MMXRSC|MMXIIC|MMLMTS
1|801|0-16BAR|39199090|\N|\N|\N|0|\N|\N|0|\N|1.44|1|3|20260323|212037|20260715|ABENAVIDES|4|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122535044
1||0.020 7075 T6 1|90212900|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535052
1||0000450530|73269090|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535059
1||00031042|63072000|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122535066
1||00051312|89031900|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535072
1||001104-200-02|85389090|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122535080
1||001105-202-02|85364100|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535086
1||00375-2003-0000|85392110|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535092
1||00462|40169300|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535098
1||005-8414-010|34029039|\N|\N|\N||\N|\N||\N|\N|||20260323|212037|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122535105
