IDCONO|IDSUNO|IDSUTY|IDSUNM|IDALSU|IDSTAT|IDCORG|IDCOR2|IDLNCD|IDPHNO|IDPHN2|IDTLNO|IDTFNO|IDCSCD|IDECAR|IDDTFM|IDEDIT|IDVRNO|IDSUCO|IDSUAL|IDSUCM|IDMEPF|IDPODA|IDCFI1|IDCFI2|IDCFI3|IDCFI4|IDCFI5|IDHAFE|IDDESV|IDTIZO|IDFWSC|IDTXID|IDRGDT|IDRGTM|IDLMDT|IDCHNO|IDCHID|IDPPIN|IDLMTS|IDGEOC|IDRASN
1|*|5|CONSIGNEE|HS|10|||GB|||||NO||DMY|||||||0||0|||||GB|||0|19991111|93624|20240214|13|EMITCHELL|0|1707929915311|0|
1|00000|0|HOTEL HJERTING -1|HOTEL HJER|20|||GB|75117000||||DK||DMY|.||||||0||0|||||GB|||0|20050907|85212|20260311|71|AKALBU01|0|1773215129262|0|
1|004061|0|O'NEILL, JAMES (test)|O'NEILL, J|20|||GB|0419804785||||AU||DMY|.||||||0||0|||||GB|||0|20120914|95150|20250813|187|DNEWLAND|0|1755076805711|0|
1|017S|0|IFR AVIONICS|IFR AVIONI|90|||GB|03 5913 7002|||03 8668 1000|AU||DMY|.|88540373312|||||0||0|||||GB|||0|20101004|82916|20260425|396|NKB|0|1777096162886|0|
1|020094|0|WILLIAM SCHUSS|WILLIAM SC|90|||GB|||||CA||DMY|||||||0||0|||||GB|||0|20060814|203537|20060814|6|JMANTAS|0|0|0|
1|02S|5|HELI-ONE(NORWAY) FORWARDING DEPT|02|20|||GB|||||NO||DMY|||||||0||0|||||GB|||0|20020909|130719|20260427|32|NKB|0|1777307338304|0|
1|030150|0|MASKINVERKSTED HS|MASKIN|90|||GB|||||NO||DMY|||||||0||0|||||GB|||0|20000626|141541|20040922|5|BROSENGR|0|0|0|
1|070918|0|SURVITEC VISCOM|VISCOM|90|||GB|00441224663500||||GB||DMY|.||||||0|OEMOTHERS|0|||||GB|||0|20180907|2908|20210129|48|EMITCHELL|0|1611921170771|0|
1|07S|5|UCOMAR, CARGO TERMINAL|07MAD|20|||GB|||||ES||DMY|||||||0||0|||||GB|||0|20011017|93841|20260425|23|NKB|0|1777095738462|0|
1|1|0|ADVANCED OPERATIONS PARTNERS, LLC|ADVANCED O|90|||GB|210-391-8425||||US||DMY|||||||0|PROFSERV|0|||||GB|||211740|20170501|124712|20170501|15|YSHAM|0|1493668136185|0|
1|14AS|5|SMITH CHANNON|14DRW|90|||GB|||||AU||DMY|||||||0||0||||||||0|20020510|95504|20020510|23|HHAUS|0|1382980686579|0|
1|14DS|5|PJ'S CUSTOMS BROKERS|14DRW|90|||GB|||||AU||DMY|||||||0||0||||||||330612|20020531|91704|20020531|23|HHAUS|0|0|0|
1|14S|5|CHC HELICOPTERS (AUSTRALIA)|14DRW|90|||GB|||||AU||DMY|||||||0||0||||||||0|20011009|81134|20020531|22|HHAUS|0|0|0|
1|17|5|CHC IRELAND|17SNN|90|||GB|||||IE||YMD|||||||0||0|||||GB|||0|20020912|70530|20061020|15|YSHAM|0|0|0|
1|17C|5|CHC IRELAND|17SNN|90|||GB|||||IE||YMD|||||||0||0|||||GB|||0|20020912|70555|20061020|16|YSHAM|0|0|0|
1|17D|5|CHC IRELAND|17SNN|90|||GB|||||IE||YMD|||||||0||0|||||GB|||0|20020912|70609|20061020|18|YSHAM|0|0|0|
1|17DS|5|EXPEDITORS IRELAND LTD|17DUBLIN|90|||GB|||||IE||YMD|||||||0||0|||||GB|||0|20011017|94212|20100908|19|YSHAM|0|1441037001183|0|
1|17S|5|EXPEDITORS IRELAND LTD|17SNN|90|||GB|||||IE||YMD|||||||0||0|||||GB|||457168387|20011017|94143|20100908|16|YSHAM|0|0|0|
1|17W|5|CHC IRELAND|17SNN|90|||GB|||||IE||YMD|||||||0||0|||||GB|||0|20020912|70603|20061020|17|YSHAM|0|0|0|
1|17WS|5|EXPEDITORS IRELAND LTD|17DUBLIN|90|||GB|||||IE||YMD|||||||0||0|||||GB|||457168385|20020422|83939|20100908|20|YSHAM|0|0|0|
1|18S|5|COUGAR HELICOPTERS C/O P.F. COLLINS|COUGA/COLL|20|||GB|||||CA||YMD|||||||0||0||||||||0|20011017|93654|20011121|20|HHAUS|0|0|0|
1|19S|5|DANBOR|19S|20|||NO|||||DK||DMY|||||||0||0||||EBJ|NO|||0|20011005|142209|20031023|8|HHAUS|0|0|0|
1|2|0|BENOIT, FILIP|BENOIT|90|||GB|||||CA||DMY|.||||||0||0|||||GB|||0|20141029|125534|20141029|36|YSHAM|0|1414612534534|0|
1|20642S|5|DFDS|DFDS|20|||GB|||||DK||DMY|||||||0||0|||||GB|||0|20030725|140413|20030725|17|HHAUS|0|0|0|
1|20802S|5|HORATH AG|HORATH AG|20|||GB|0041432115700|||0041432115709|CH||DMY|||||||0||0|||||GB|||12845062|20041022|134555|20041022|2|MPETERSE|0|0|0|
1|21074S|5|LISSA|LISSA|20|||GB|00351217520221|||00351217596484|PT||DMY|||||||0||0|||||GB|||33773|20050503|100755|20121016|4|YSHAM|0|1350423195265|0|
