iacono|iadivi|iafaci|iawhlo|iapuno|iaorty|iapotc|iapusl|iasldt|iapust|iascdt|iacmco|iapudt|iasuno|ialncd|iacucd|iatepy|iapyme|iamodl|iatedl|iateaf|iatepa|iarfid|iayre1|iadwdt|iahddt|iaprsu|iaourr|iaourt|iaagnt|iantam|iabram|iaotba|iapurc|iabuye|iaaure|ialedt|iafusc|iaexat|iaptac|iartac|iaexav|ianopp|ianoln|iamtwp|iamtdp|iacoam|iaodam|iaotpc|iaprla|iavol3|iagrwe|iatoqt|iatfno|ialred|iaatdt|iapopo|iatel1|iadudt|iacute|iaagra|iapyad|iashvi|iafids|iarcdt|ialidt|iaexep|iainep|iatlex|iatlin|iateor|iatxid|iaprtx|iapotx|iadtid|iaproj|iaelno|iaeclc|iacpri|iahafe|iatihm|iamedc|iargdt|iargtm|ialmdt|iachno|iachid|ialmts|iaprvw|iarasn|iafecn|iauca1|iauca2|iauca3|iauca4|iauca5|iauca6|iauca7|iauca8|iauca9|iauca0|iaudn1|iaudn2|iaudn3|iaudn4|iaudn5|iaudn6|iauid1|iauid2|iauid3|iauct1|iaporg|iasram
300|088|088|US1|1109377|D01|20|35|20250910|35|20250910|04|20210623|20001|GB|USD|N90|WIR|001|FOB||001|||20260630|0|||||135.04|135.04|0||USSXU|USEPRON|20250901||0|0|0|0|0|1|0|0|135.04|0|0|1|0|0|125||0|0|1||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20250830|170237|20251003|40|USMTUDO|1759513647692|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|1109742|D01|20|35|20250910|35|20250910|04|20210720|20001|GB|USD|N90|WIR|001|FOB||001|||20260630|0|||||145.6|145.6|0||USSXU|USEPRON|0||0|0|0|0|0|1|0|0|145.6|0|0|1|0|0|250||0|0|0||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20250830|170307|20250910|13|USEPRON|1757475882047|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|1109811|D01|20|35|20250910|35|20250910|04|20210720|20001|GB|USD|N90|WIR|001|FOB||001|||20260630|0|||||162.89|162.89|0||USSXU|USEPRON|0||0|0|0|0|0|1|0|0|162.89|0|0|1|0|0|200||0|0|0||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20250830|170307|20250910|13|USEPRON|1757475882119|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|1109881|D01|20|35|20250910|35|20250910|04|20210722|20001|GB|USD|N90|WIR|001|FOB||001|||20260630|0|||||309.81|309.81|0||USSXU|USEPRON|0||0|0|0|0|0|1|0|0|309.81|0|0|1|0|0|200||0|0|0||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20250830|170307|20250910|13|USEPRON|1757475882188|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|1109977|D01|20|35|20250910|35|20250910|04|20210723|20001|GB|USD|N90|WIR|001|FOB||001|||20260630|0|||||300|300|0||USSXU|USEPRON|0||0|0|0|0|0|1|0|0|300|0|0|1|0|0|250||0|0|0||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20250830|170307|20250910|13|USEPRON|1757475882255|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|1110145|D01|20|35|20250910|35|20250910|04|20210804|20001|GB|USD|N90|WIR|001|FOB||001|||20260630|0|||||40.68|40.68|0||USSXU|USEPRON|0||0|0|0|0|0|1|0|0|40.68|0|0|1|0|0|75||0|0|0||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20250830|170307|20250910|13|USEPRON|1757475882321|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|1110231|D01|20|35|20250910|35|20250910|04|20210805|20001|GB|USD|N90|WIR|001|FOB||001|||20260630|0|||||544.37|544.37|0||USSXU|USEPRON|0||0|0|0|0|0|1|0|0|544.37|0|0|1|0|0|250||0|0|0||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20250830|170307|20250910|10|USEPRON|1757475882381|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|1110355|D01|20|35|20250910|35|20250910|04|20210816|20001|GB|USD|N90|WIR|001|FOB||001|||20260630|0|||||1312.12|1312.12|0||USSXU|USEPRON|0||0|0|0|0|0|1|0|0|1312.12|0|0|1|0|0|250||0|0|0||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20250830|170307|20250910|10|USEPRON|1757475882438|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|1110583|D01|20|35|20250910|35|20250910|04|20210824|20001|GB|USD|N90|WIR|001|FOB||001|||20260630|0|||||138.65|138.65|0||USSXU|USEPRON|0||0|0|0|0|0|1|0|0|138.65|0|0|1|0|0|250||0|0|0||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20250830|170307|20250910|10|USEPRON|1757475882494|0|||||||||||||0|0|0|0|0|0|0|0|0|||
300|088|088|US1|1110591|D01|20|35|20250910|35|20250910|04|20210824|20001|GB|USD|N90|WIR|001|FOB||001|||20260630|0|||||148.35|148.35|0||USSXU|USEPRON|0||0|0|0|0|0|1|0|0|148.35|0|0|1|0|0|250||0|0|0||0|0|0|HQ|||0|0|0|0|0|0|0|0|0|0|0||||||0||20250830|170308|20250910|13|USEPRON|1757475882561|0|||||||||||||0|0|0|0|0|0|0|0|0|||
