oscono|osdivi|osprtf|osdevd|osusid|osmedc|ossiid|ossvra|osport|oscsid|oshold|ossave|oscfot|osusgr|osfmtp|osrgdt|osrgtm|oslmdt|oschno|oschid|osrfpi|osrfpb|osolay|osrpof|oslmts|oshpri
100||||||M3_IDM_XML||0||*NO|*YES|*NO||LETTER|20260504|164822|20260504|2|SKUMAR|3|3||3|1777913434328|0
100||APS041PF||||M3_IDM_CSV||0||*NO|*YES|*NO||LETTER|20260504|164437|20260504|1|ERICP1|3|3||3|1777913077213|0
100||APS113PF||||M3_IDM_CSV||0||*NO|*YES|*NO||LETTER|20260504|164437|20260504|1|ERICP1|3|3||3|1777913077283|0
100||APS135PF||||M3_IDM_COM||0||*NO|*YES|*NO||LETTER|20260504|164437|20260504|1|ERICP1|3|3||3|1777913077344|0
100||APS136PF||||M3_IDM_CSV||0||*NO|*YES|*NO||LETTER|20260504|164437|20260504|1|ERICP1|3|3||3|1777913077413|0
100||APS139PF||||M3_IDM_COM||0||*NO|*YES|*NO||LETTER|20260504|164437|20260504|1|ERICP1|3|3||3|1777913077467|0
100||APS141PF||MBUENSUCE||M3_IDM_XML||0||*NO|*YES|*YES||LETTER|20260504|164437|20260504|1|ERICP1|1|1||3|1777913077543|0
100||APS141PF||SKUMAR||M3_IDM_XML||0||*NO|*YES|*NO||LETTER|20260504|164437|20260504|1|ERICP1|3|3||3|1777913077612|0
100||APS161PF||SKUMAR||M3_IDM_CSV||0||*NO|*YES|*NO||LETTER|20260504|164437|20260504|1|ERICP1|3|3||3|1777913077683|0
100||APS162PF||SKUMAR||M3_IDM_COM||0||*NO|*YES|*YES||LETTER|20260504|164437|20260504|1|ERICP1|3|3||3|1777913077743|0
100||APS163PF||SKUMAR||M3_IDM_CSV||0||*NO|*YES|*NO||LETTER|20260504|164437|20260504|1|ERICP1|3|3||3|1777913077808|0
100||APS164PF||SKUMAR||M3_IDM_CSV||0||*NO|*YES|*NO||LETTER|20260504|164437|20260504|1|ERICP1|3|3||3|1777913077866|0
100||APS198PF||SKUMAR||M3_IDM_CSV||0||*NO|*YES|*NO||LETTER|20260504|164437|20260504|1|ERICP1|3|3||3|1777913077929|0
100||APS311PF||SKUMAR||M3_IDM_CSV||0||*NO|*YES|*NO||LETTER|20260504|164437|20260504|1|ERICP1|3|3||3|1777913077995|0
100||APS383PF||SKUMAR||M3_IDM_CSV||0||*NO|*YES|*NO||LETTER|20260504|164438|20260504|1|ERICP1|3|3||3|1777913078059|0
100||APS403PF||SKUMAR||M3_IDM_CSV||0||*NO|*YES|*NO||LETTER|20260504|164438|20260504|1|ERICP1|3|3||3|1777913078120|0
100||APS428PF||SKUMAR||M3_IDM_CSV||0||*NO|*YES|*NO||LETTER|20260504|164438|20260504|1|ERICP1|3|3||3|1777913078177|0
100||APS433PF||SKUMAR||M3_IDM_CSV||0||*NO|*YES|*NO||LETTER|20260504|164438|20260504|1|ERICP1|3|3||3|1777913078240|0
100||APS443PF||SKUMAR||M3_IDM_CSV||0||*NO|*YES|*NO||LETTER|20260504|164438|20260504|1|ERICP1|3|3||3|1777913078304|0
100||APS457PF||SKUMAR||M3_IDM_CSV||0||*NO|*YES|*NO||LETTER|20260504|164438|20260504|1|ERICP1|3|3||3|1777913078363|0
