tdcono|tddivi|tdidtr|tdmvxp|tdextp|tdmvxd|tdmbmd|tdtx15|tdtx40|tdtxid|tdrgdt|tdrgtm|tdlmdt|tdchno|tdchid
100||60|||101734|0787405000000|0787405000000|0787405000000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||1042|6207930670000|6207930670000|6207930670000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||10813|038824876|038824876|038824876|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||116489|116489|116489|116489|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||11750|0353757570000|0353757570000|0353757570000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||122712|122712|122712|122712|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||124833|113112861|113112861|113112861|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||137709|8092014110000|8092014110000|8092014110000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||139182|139182|139182|139182|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||139217|0423707340006|0423707340006|0423707340006|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||139531|139531|139531|139531|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||140130|0079297480FHS|0079297480FHS|0079297480FHS|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||142145|0423707340001|0423707340001|0423707340001|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||142318|142318|142318|142318|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||142318|SUPPLIESFLY|SUPPLIESFLY|SUPPLIESFLY|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||142767|0534744210000|0534744210000|0534744210000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||145487|7951404330000|7951404330000|7951404330000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||15247|1229487500000|1229487500000|1229487500000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||153320|153320|153320|153320|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||153322|153322|153322|153322|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||153549|153549|153549|153549|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||154053|0787361800000|0787361800000|0787361800000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||154191|154191|154191|154191|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||170169|170169|170169|170169|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||17485|17485|17485|17485|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||180756|0794223490000|0794223490000|0794223490000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||182822|8003602231|8003602231|8003602231|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||18868|79-244-2543|79-244-2543|79-244-2543|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||18997|0079297481FAQ|0079297481FAQ|0079297481FAQ|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||19093|0079297481FAM|0079297481FAM|0079297481FAM|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||21965|0403560600000|0403560600000|0403560600000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||23637|0141881550000|0141881550000|0141881550000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||241055|051957769|051957769|051957769|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||24316|0196614660000|0196614660000|0196614660000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||245844|0791463240000|0791463240000|0791463240000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||25020|0244147160000|0244147160000|0244147160000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||25120|25120|25120|25120|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||252191|0064000980000|0064000980000|0064000980000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||252495|252495|252495|252495|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||252495|Amazon_FBA|Amazon_FBA|Amazon_FBA|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||263391|0079297481FLR|0079297481FLR|0079297481FLR|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||26483|103391843|103391843|103391843|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||27707|27707|27707|27707|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||28131|0356123450000|0356123450000|0356123450000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||287|0079943610000|0079943610000|0079943610000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||288302|288302|288302|288302|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||28908|28908|28908|28908|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||29982|29982|29982|29982|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||304|0079297481FOK|0079297481FOK|0079297481FOK|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||312037|312037|312037|312037|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||3318|3318|3318|3318|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||36949|0446280680000|0446280680000|0446280680000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||39604|0267963670000|0267963670000|0267963670000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||401858|621418185|621418185|621418185|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||444|0315062020000|0315062020000|0315062020000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||4720|4720|4720|4720|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||4764|0079297481FSA|0079297481FSA|0079297481FSA|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||511908|0083967000016|0083967000016|0083967000016|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||511908|511908|511908|511908|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||51525|0320580130000|0320580130000|0320580130000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||52197|0790517230000|0790517230000|0790517230000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||56562|0845674570000|0845674570000|0845674570000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||588142|0000119207615|0000119207615|0000119207615|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||596380|PERFFOODSERVICE|PERFFOODSERVICE|PERFFOODSERVICE|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||6287|0423707340002|0423707340002|0423707340002|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||64503|153320|153320|153320|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||64503|64503|64503|64503|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||67054|0079297480FDF|0079297480FDF|0079297480FDF|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||6779|8065506040000|8065506040000|8065506040000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||699|200699000|200699000|200699000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||71567|0064000980000DR|0064000980000DR|0064000980000DR|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||73379|1434459350000|1434459350000|1434459350000|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||74076|2521335170360|2521335170360|2521335170360|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||74946|74946|74946|74946|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||7520|0588222890000|0588222890000|0588222890000|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||75654|1418835410000|1418835410000|1418835410000|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||77375|77375|77375|77375|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||77683|1124515340000|1124515340000|1124515340000|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||80019|1684664510000|1684664510000|1684664510000|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||80123|3619643280000|3619643280000|3619643280000|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||81463|2521335173205|2521335173205|2521335173205|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||82128|1598686240000|1598686240000|1598686240000|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||82211|6233404240000|6233404240000|6233404240000|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||83509|FRESHDIRECT|FRESHDIRECT|FRESHDIRECT|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||84101|9478184560000|9478184560000|9478184560000|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||84363|84363|84363|84363|0|20260505|132141|20260505|1|SCOUGHLAN
100||60|||84363|Amazon_FBM|Amazon_FBM|Amazon_FBM|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||85119|85119|85119|85119|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||8708|0530460250000|0530460250000|0530460250000|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||8710|1223609720000|1223609720000|1223609720000|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||8711|0981745920000|0981745920000|0981745920000|0|20260505|132142|20260505|1|SCOUGHLAN
100||60|||8712|8360573980000|8360573980000|8360573980000|0|20260505|132142|20260505|1|SCOUGHLAN
