mmcono|mmstat|mmitno|mmitds|mmfuds|mmdwno|mmresp|mmdccd|mmunms|mmitgr|mmitcl|mmbuar|mmevgr|mmitty|mmtpcd|mmmabu|mmchcd|mmstcd|mmbacd|mmvol3|mmnewe|mmgrwe|mmppun|mmbypr|mmwapc|mmqacd|mmepcd|mmpocy|mmacti|mmhie1|mmhie2|mmhie3|mmhie4|mmhie5|mmgrp1|mmgrp2|mmgrp3|mmgrp4|mmgrp5|mmcfi1|mmcfi2|mmcfi3|mmcfi4|mmcfi5|mmeccc|mmtxid|mmdtid|mmecve|mmecac|mmecma|mmecfl|mmwsca|mmprgp|mmetrf|mmacrf|mmindi|mmpuun|mmautc|mmaluc|mmpdcc|mmieaa|mmride|mmridc|mmgrti|mmgrts|mmexpd|mmitrf|mmprcm|mmgrmt|mmhazi|mmsale|mmfrag|mmtaxc|mmatmo|mmatmn|mmtpli|mmfcu1|mmsuno|mmpupr|mmpucd|mmcucd|mmppdt|mmsapr|mmstun|mmsacd|mmcucs|mmspdt|mmdigi|mmbgrp|mmprvg|mmfre3|mmfre4|mmotdi|mmbogr|mmprgr|mmlama|mmachk|mmbpey|mmspun|mmspuc|mmalun|mmunnn|mmunpa|mmhac1|mmhac2|mmhac3|mmdim1|mmdim2|mmdim3|mmspe1|mmspe2|mmspe3|mmspe4|mmspe5|mmcety|mmstcn|mmspac|mmtrpa|mmprod|mmsmfi|mmtank|mmarpa|mmarpr|mmampt|mmawdy|mmnpto|mmmes1|mmmes2|mmmes3|mmmes4|mmmva1|mmmva2|mmmva3|mmmva4|mmpeq1|mmpeq2|mmpeq3|mmpeq4|mmpet1|mmpet2|mmpet3|mmpet4|mmmpgm|mmorty|mmplcd|mmmapl|mmtohi|mmtore|mmfeba|mmmapn|mmdoid|mmsepr|mmstcs|mmnesa|mmnsuf|mmfccm|mmdpid|mmconc|mmplmz|mmcco1|mmcco2|mmcco3|mmwady|mmtbsr|mmmbsr|mmtbur|mmmbur|mmtbfr|mmmbfr|mmaesc|mmaes2|mmamor|mmfunc|mmstnc|mmdirr|mmmdir|mmscgr|mmarr1|mmaeqy|mmleai|mmwal1|mmwal2|mmwal3|mmwal4|mmiacp|mmhdpr|mmaad0|mmaad1|mmchcl|mmitrc|mmvtcp|mmvtcs|mmrgdt|mmrgtm|mmlmdt|mmchno|mmchid|mmlmts|mmatnr|mmnmit|mmtecr|mmexca|mmcawp|mmcwun|mmcpun|mmilen|mmiwid|mmihei|mmrnri|mmsafc|mmrmsg|mmmotp|mmacmc|mmaccg|mmcci1|mmcccm|mmcri1|mmitru|mmhvmt|mmitne|mmqmgp|mmspgv|mmruid|mmspih|mmqirq|mmpdln|mmcpgr|mmsume|mmsump|mmsrgr|mmtagr|mmowct|mmowfa
200|20|5-9166|NURSING PIN|CPQ TEST BADGE 3||WBOLIN01|0|EA|ZZZZZ|ZZZ|||J01|0|1|2|1|0|0|0|0|EA|0|0|0|0|0|0||||||||||||0|||||0|0|||0|0|||||0|EA|0|2|2|0||0|||0||||0|1|0|TAX|GE020|1|J70012468|0||0|0||0|0|EA|0||0||||||0|0|0|0|0|0|EA|1|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|20260420|164021|20260421|1|PREMS01|1776786741369|0|||0|0|EA|EA|0|0|0|0||0|||||||0|0|5-9166||0|JEWEL_PIN|0|0|||0||0||0|
200|20|5-9166001|NURSING PIN|Commission Amount 1 Commission Amount 2||WBOLIN01|0|EA|ZZZZZ|ZZZ|||J01|0|1|3|1|0|0|0|0|EA|0|0|0|0|0|0||||||||||||0|||||0|0|||0|0|||||0|EA|0|2|2|0||0|||0||||0|1|0|TAX|GE020|1|5-9166|0||0|0||0|0|EA|0||0||||||0|0|0|0|0|0|EA|1|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9166|0|0|0|0|0|0|20260421|212154|20260421|1|PREMS01|1776806514442|0|||0|0|EA|EA|0|0|0|0||0|||||||0|0|5-9166001||0|JEWEL_PIN|0|0|||0||0||0|
200|20|5-9166002|NURSING PIN|Commission Amount 1 Commission Amount 2||WBOLIN01|0|EA|ZZZZZ|ZZZ|||J01|0|1|3|1|0|0|0|0|EA|0|0|0|0|0|0||||||||||||0|||||0|0|||0|0|||||0|EA|0|2|2|0||0|||0||||0|1|0|TAX|GE020|1|5-9166|0||0|0||0|0|EA|0||0||||||0|0|0|0|0|0|EA|1|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9166|0|0|0|0|0|0|20260421|212639|20260421|1|PREMS01|1776806799265|0|||0|0|EA|EA|0|0|0|0||0|||||||0|0|5-9166002||0|JEWEL_PIN|0|0|||0||0||0|
200|20|5-9166003|NURSING PIN|Commission Amount 1 Commission Amount 2||WBOLIN01|0|EA|ZZZZZ|ZZZ|||J01|0|1|3|1|0|0|0|0|EA|0|0|0|0|0|0||||||||||||0|||||0|0|||0|0|||||0|EA|0|2|2|0||0|||0||||0|1|0|TAX|GE020|1|5-9166|0||0|0||0|0|EA|0||0||||||0|0|0|0|0|0|EA|1|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9166|0|0|0|0|0|0|20260421|212920|20260421|1|PREMS01|1776806960933|0|||0|0|EA|EA|0|0|0|0||0|||||||0|0|5-9166003||0|JEWEL_PIN|0|0|||0||0||0|
200|20|5-9166004|NURSING PIN|Commission Amount 1 Commission Amount 2||WBOLIN01|0|EA|ZZZZZ|ZZZ|||J01|0|1|3|1|0|0|0|0|EA|0|0|0|0|0|0||||||||||||0|||||0|0|||0|0|||||0|EA|0|2|2|0||0|||0||||0|1|0|TAX|GE020|1|5-9166|0||0|0||0|0|EA|0||0||||||0|0|0|0|0|0|EA|1|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9166|0|0|0|0|0|0|20260421|213658|20260421|1|PREMS01|1776807419030|0|||0|0|EA|EA|0|0|0|0||0|||||||0|0|5-9166004||0|JEWEL_PIN|0|0|||0||0||0|
200|20|5-9166005|NURSING PIN|Commission Amount 1 Commission Amount 2||WBOLIN01|0|EA|ZZZZZ|ZZZ|||J01|0|1|3|1|0|0|0|0|EA|0|0|0|0|0|0||||||||||||0|||||0|0|||0|0|||||0|EA|0|2|2|0||0|||0||||0|1|0|TAX|GE020|1|5-9166|0||0|0||0|0|EA|0||0||||||0|0|0|0|0|0|EA|1|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9166|0|0|0|0|0|0|20260422|140011|20260422|1|PREMS01|1776866411411|0|||0|0|EA|EA|0|0|0|0||0|||||||0|0|5-9166005||0|JEWEL_PIN|0|0|||0||0||0|
200|20|5-9166006|NURSING PIN|Commission Amount 1 Commission Amount 2||WBOLIN01|0|EA|ZZZZZ|ZZZ|||J01|0|1|3|1|0|0|0|0|EA|0|0|0|0|0|0||||||||||||0|||||0|0|||0|0|||||0|EA|0|2|2|0||0|||0||||0|1|0|TAX|GE020|1|5-9166|0||0|0||0|0|EA|0||0||||||0|0|0|0|0|0|EA|1|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9166|0|0|0|0|0|0|20260422|143858|20260422|1|WBOLIN01|1776868738865|0|||0|0|EA|EA|0|0|0|0||0|||||||0|0|5-9166006||0|JEWEL_PIN|0|0|||0||0||0|
200|20|5-9166007|NURSING PIN|Commission Amount 1 Commission Amount 2||WBOLIN01|0|EA|ZZZZZ|ZZZ|||J01|0|1|3|1|0|0|0|0|EA|0|0|0|0|0|0||||||||||||0|||||0|0|||0|0|||||0|EA|0|2|2|0||0|||0||||0|1|0|TAX|GE020|1|5-9166|0||0|0||0|0|EA|0||0||||||0|0|0|0|0|0|EA|1|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9166|0|0|0|0|0|0|20260422|151620|20260422|1|PREMS01|1776870981024|0|||0|0|EA|EA|0|0|0|0||0|||||||0|0|5-9166007||0|JEWEL_PIN|0|0|||0||0||0|
200|20|5-9504|NURSING PIN|NURSING PIN||WBOLIN01|0|EA|GE020|GE021|||J01|0|1|2|1|0|0|0|0|EA|0|0|0|0|0|0||||||||||||0|||||0|0|||0|0|||||0|EA|0|2|2|0||0|||0||||0|1|0|TAX|GE020|1|GREEKPIN|0||0|0|USD|0|0|EA|0|USD|0||||||0|2|2|0|0|0|EA|2|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9166|0|0|0|0|0|0|20260427|190428|20260427|3|WBOLIN01|1777319657161|0|||0|0|EA|EA|0|0|0|0||0|||||||0|0|5-9504||0|JEWEL_BADGE|0|0|||0||0||0|
200|20|5-9504001|NURSING PIN|CONSTRUCTION METHOD GE-C-STAMP J00000002||WBOLIN01|0|EA|GE020|GE021|||J01|0|1|3|1|0|0|0|0|EA|0|0|0|0|0|0||||||||||||0|||||0|0|||0|0|||||0|EA|0|2|2|0||0|||0||||0|1|0|TAX|GE020|1|5-9504|0||0|0|USD|0|0|EA|0|USD|0||||||0|2|2|0|0|0|EA|2|EA|0||||||||||||||||||0|0|||0|0|0|||||0|0|0|0|0|0|0|0|0|0|0|0|||||0|0|0|0||0|0||||0|0|0|0|0|0|0|0||0||0||0|0|0|||0||0|0|0|0|0|0|0|0|0|5-9504|0|0|0|0|0|0|20260427|191459|20260427|1|WBOLIN01|1777317299743|0|||0|0|EA|EA|0|0|0|0||0|||||||0|0|5-9504001||0|JEWEL_BADGE|0|0|||0||0||0|
