"Type","ID","Name","thgskuid","thghjlegacyerpproductnumber","thgproductsize","thgskutype","thghjlegacyerpproductdescription","thgskustatus","thgskuname","thgskudescription","thguom","itemgroup","productgroup","itemtype","thgprimarymakebuy","thgnetweight","thggrossweight","thgproducttaxcode","thgreturnsallowed","thgareaofstudy","thgdegreedependent","thgdegreetype","thghjproductcollection","thghjschoolyear","thghjyeardated","thglicensingrate","thglicensingreferenceid","thgpackagingchangeoffered","thgpackagingoption","thgprimaryproductmaterial","thgproductcontent","thgproductroyaltygroup","thgproductid","accessorytype","badgetype","basecolor","chainlength","chaintype","charmtype","closuretype","color1","color2","color3","comeswithchain","comeswithcharmpendanttag","cordtype","thgdimensions","earringtype","embelishmentdecorating","engraving","engravingfont","engravinglines","engravingmaxcharacters","engravingmincharacters","engravingoptions","engravingpriceperchar","engravingsurcharge","fabrictype","findings","greekletter","greekletterdependent","hasstone","metalandmetalquality","metalfinishingfutroncolor","metalfinishingfutronrequired","metalfinishingnumberoffutroncolors","metalfinishingplating","metalfinishingpolishing","metalfinishingspiritblastcolorfinish","multipiececonstruction","pinshape","primaryribboncolor","ringfingersize","ringstylesize","ringtype","pintype","pendanttype","necklacetype","bracelettype","medaltype","insigniatype","secondaryribboncolor","sides","sizecategory","stoletype","stonearrangement","stonebottomcut","stonecolor","stonecolorbirthstone","stonequality","stonequalitydiamond","stoneshape","stonesize","stonetopcut","stonetreatment","stonetype","trimcolor","weavingtype","thgaltimagetext1","thgaltimagetext10","thgaltimagetext2","thgaltimagetext3","thgaltimagetext4","thgaltimagetext5","thgaltimagetext6","thgaltimagetext7","thgaltimagetext8","thgaltimagetext9","thgimagefilename10","thgimagefilename2","thgimagefilename3","thgimagefilename4","thgimagefilename5","thgimagefilename6","thgimagefilename7","thgimagefilename8","thgimagefilename9","thgimagesourcealt10","thgimagesourcealt4","thgimagesourcealt5","thgimagesourcealt6","thgimagesourcealt7","thgimagesourcealt8","thgimagesourcealt9","thgimagesourcealt1","thgimagesourcealt2","thgimagesourcealt3","thgimagesourcemain","thgimagetitle1","thgimagetitle10","thgimagetitle2","thgimagetitle3","thgimagetitle4","thgimagetitle5","thgimagetitle6","thgimagetitle7","thgimagetitle8","thgimagetitle9","thgmainimagefilename","thgmainimagetext","thgmainimagetitle","thghjbusinessentity","thghtcs","thgproductionleadtimeindays","thgspecialtyitem","thgspecialtyitemfulfillment","thgupc","thgwarrantydetail","thg3dmodel","thgecommercetaxonomy","thgfeaturedproduct","thgnewproduct","thgproductconfigurationrequired","thgproductpersonalizationallowed","thgproductpersonalizationrequired","thgproductsellable","thgrestricteditem","thgweblongdescription","thgwebshortdescription","metalweightdwt","metal","metalquality","containsgold","thglicensed","thglicensedcollection","Column(152)","Column(153)","Column(154)","Column(155)","Column(156)","Column(157)","Column(158)","Column(159)","Column(160)","Column(161)","Column(162)","Column(163)","Column(164)","Column(165)","Column(166)","Column(167)","Product Taxonomy"
"sku","","","A000007373","12-00428GE","","Finished Good","SERVICE PIN MONMOUTH CNTY PARK","20","SERVICE PIN MONMOUTH CNTY PARK","SERVICE PIN MONMOUTH CNTY PARK","Each","Pins","Professional","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NULL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","12-00428GE","Professional","MONMOUTH COUNTY PARK SYSTEM","293188","MRA","Gold Electroplate","08/01/25","//","","0","","31.1","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Professional"
"sku","","","A000007510","12-00549RP","","Finished Good","TIE TAC CUBES","20","TIE TAC CUBES","TIE TAC CUBES","Each","Fashion Jewelry","Tie Tac","Jewelry","Manufactured","","","Fashion Jewelry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NULL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","Rhodium Plate","N","","","12-00549RP","Tie Tac","KARLS JEWELRY","345107","MRA","Rhodium Plate","05/31/24","11/01/24","","17.65","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Fashion Jewelry>>Tie Tac"
"sku","","","A000022656","3-1467 DGF","","Finished Good","SHATTUCK ST. MARY'S CHARM","20","SHATTUCK ST. MARY'S CHARM","SHATTUCK ST. MARY'S CHARM","Each","Fashion Jewelry","Charm","Jewelry","Manufactured","","","Fashion Jewelry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.19.9000","","","","","","","","","","","","","","","","","","Double Gold Filled","","Y","","","3-1467 DGF","Charm","NATIONAL STUDENT SERVICES","222701","MRA","Double Gold Filled","08/01/23","07/30/24","","130.3","","","","Y","Not Yet Determined","Not Yet Determined","Product Taxonomy>>Jewelry>>Fashion Jewelry>>Charm"
"sku","","","A000023191","3-1711  GE","","Finished Good","SACRED HEART CREST ON BASE","20","SACRED HEART CREST ON BASE","SACRED HEART CREST ON BASE","Each","Pins","Education","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","3-1711 GE","Education","SACRED HEART ACADEMY","SAC026","MRA","Gold Electroplate","08/01/23","07/31/24","","15.6","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Pins>>Education"
"sku","","","A000025419","4-0277  10K","","Finished Good","GOLF CLUB MEDALS","20","GOLF CLUB MEDALS","GOLF CLUB MEDALS","Each","Medals","Medals","Jewelry","Manufactured","","","Medals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8306.29.0000","","","","","","","","","","","","","","","","","","Yellow Gold","10K","Y","","","4-0277 10K","Medals","WINGED FOOT GOLF CLUB","318290","MRA","10K","12/12/24","07/31/25","","1088","","589.5","","Y","Not Yet Determined","Not Yet Determined","Product Taxonomy>>Jewelry>>Medals"
"sku","","","A000027559","4-4577  WGL","","Finished Good","MILAN HIGH SCHOOL BIG REDS","20","MILAN HIGH SCHOOL BIG REDS","MILAN HIGH SCHOOL BIG REDS","Each","Medals","Medals","Jewelry","Purchased","","","Medals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","","N","","","4-4577 WGL","Education","GRADUATE SERVICE DETROIT","212070","MRA","White Glo","07/01/12","06/30/13","","5.5","","6.5","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Medals"
"sku","","","A000028203","4-5180 RP","","Finished Good","1/2 INCH WSU CUFF LINK","20","1/2 INCH WSU CUFF LINK","1/2 INCH WSU CUFF LINK","Each","Fashion Jewelry","Cufflinks","Jewelry","Manufactured","","","Fashion Jewelry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.11.0000","","","","","","","","","","","","","","","","","","","Rhodium Plate","N","","","4-5180 RP","Cufflinks","HERFF JONES INC","133173","MRA","Rhodium Plate","#N/A","#N/A","","#N/A","","","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Fashion Jewelry>>Cufflinks"
"sku","","","A000028259","4-5237  GE","","Finished Good","2.5"""" 2 SIDED MEDAL ON RED NECK","20","2.5"""" 2 SIDED MEDAL ON RED NECK","2.5"""" 2 SIDED MEDAL ON RED NECK","Each","Medals","Medals","Jewelry","Purchased","","","Medals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8306.29.0000","","","","","","","","","","","","","","","","","","","Gold Electroplate","N","","","4-5237 GE","Medals","INDIANA UNIV ACCTS PAYABLE","139996","MRA","Gold Electroplate","03/07/24","07/30/24","","3.65","","48","","N","N/A","N/A","Product Taxonomy>>Jewelry>>Medals"
"sku","","","A000032048","5-9504  GF LT","","Finished Good","LAPEL TAC - BSN NURSING","20","LAPEL TAC - BSN NURSING","LAPEL TAC - BSN NURSING","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Filled","Y","","","5-9504 GF LT","Medical","SCHULL, ANDREW","020120","MRA","Gold Filled","08/01/25","07/31/26","","127.35","150","","","Y","Not Yet Determined","Not Yet Determined","Product Taxonomy>>Jewelry>>Pins>>Medical"
"sku","","","A000032050","5-9504  GFWLT","","Finished Good","LAPEL TAC - BSN NURSING","20","LAPEL TAC - BSN NURSING","LAPEL TAC - BSN NURSING","Each","Pins","Medical","Jewelry","Manufactured","","","Pins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7117.90.1000","","","","","","","","","","","","","","","","","","","Gold Filled White","Y","","","5-9504 GFWLT","Medical","SCHULL, ANDREW","020120","MRA","White Gold Filled","08/01/25","07/31/26","","130.65","150","","","Y","Not Yet Determined","Not Yet Determined","Product Taxonomy>>Jewelry>>Pins>>Medical"
