CIFILE	CISOPT	CITX40	CITX15	CIKEY1	CIAGG1	CIDSC1	CIKEY2	CIAGG2	CIDSC2	CIKEY3	CIAGG3	CIDSC3	CIKEY4	CIAGG4	CIDSC4	CIKEY5	CIAGG5	CIDSC5	CIKEY6	CIAGG6	CIDSC6	CIKEY7	CIAGG7	CIDSC7	CIKEY8	CIAGG8	CIDSC8	CIKEY9	CIAGG9	CIDSC9	CIKE10	CIAG10	CIDS10	CIKE11	CIAG11	CIDS11	CIKE12	CIAG12	CIDS12	CIKE13	CIAG13	CIDS13	CIKE14	CIAG14	CIDS14	CIKE15	CIAG15	CIDS15	CISEL1	CISOK1	CIOPR1	CIVAL1	CISEL2	CISOK2	CIOPR2	CIVAL2	CISEL3	CISOK3	CIOPR3	CIVAL3	CISEL4	CISOK4	CIOPR4	CIVAL4	CISEL5	CISOK5	CIOPR5	CIVAL5	CISEL6	CISOK6	CIOPR6	CIVAL6	CISTAT	CITXID	CIRGDT	CIRGTM	CILMDT	CICHNO	CICHID	CIMS51	CIMS52	CIMS53	CIMS54	CILMTS	CIJNSO	CIJNTB	CISOPM	CISOPJ	CISECF
AACFLY    	00	AACFLY00	AACFLY00       	AFTAIL	0	0	AFMES0	0	0	AFCYP6	0	0	AFAAGN	0	0	AFDIVI	0	0	AFYEA4	0	0	AFINPX	0	0	AFIVNO	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65557	20131219	0	MOVEX     	WTA1A	WME40	WPE01	WAA18	1387464957728	0	          	  	  	
AACFLY    	01	AACFLY01	AACFLY01       	AFTAIL	0	0	AFMES0	0	0	AFCYP6	0	0	AFAAGN	0	0	AFDIVI	0	0	AFYEA4	0	0	AFEXIN	0	0	AFIVNO	0	0	AFINPX	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65557	20131219	0	MOVEX     	WTA1A	WME40	WPE01	WAA18	1387464957728	0	          	  	  	
AACFLY    	10	AACFLY10	AACFLY10       	AFDIVI	0	0	AFYEA4	0	0	AFINPX	0	0	AFIVNO	0	0	AFTAIL	0	0	AFMES0	0	0	AFCYP6	0	0	AFAAGN	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65557	20131219	0	MOVEX     	WDI01	WYEA1	WINB6	WIV04	1387464957728	0	          	  	  	
AACFLY    	20	AACFLY20	AACFLY20       	AFAAGN	0	0	AFCYP6	0	0	AFTAIL	0	0	AFMES0	0	0	AFYEA4	0	0	AFDIVI	0	0	AFINPX	0	0	AFIVNO	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65557	20131219	0	MOVEX     	WAA18	WPE01	WTA1A	WME40	1387464957744	0	          	  	  	
ACERTH    	00	ACERTH00	ACERTH00       	CHACNO	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65552	20131219	0	MOVEX     	WYC9B	     	     	     	1387464952691	0	          	  	  	
ACERTH    	10	ACERTH10	ACERTH10       	CHCUNO	0	0	CHITNO	0	0	CHBANO	0	0	CHACNO	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65552	20131219	0	MOVEX     	WCU02	WIT01	WBA04	WYC9B	1387464952707	0	          	  	  	
ACERTH    	20	ACERTH20	ACERTH20       	CHRORC	0	0	CHRORH	0	0	CHRORL	0	0	CHRORX	0	0	CHITNO	0	0	CHBANO	0	0	CHACNO	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65552	20131219	0	MOVEX     	WRO19	WRO15	WRO16	WPO02	1387464952707	0	          	  	  	
ACERTH    	30	ACERTH30	ACERTH30       	CHPOPN	0	0	CHBANO	0	0	CHACNO	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65552	20131219	0	MOVEX     	WPO04	WBA04	WYC9B	     	1387464952707	0	          	  	  	
ACERTH    	40	ACERTH40	ACERTH40       	CHANPN	0	0	CHACNO	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65552	20131219	0	MOVEX     	WAA56	WYC9B	     	     	1387464952707	0	          	  	  	
ACERTH    	50	ACERTH50	ACERTH50       	CHCHID	0	0	CHACNO	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	      	0	0	 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		 	      	  		20	0	20131219	65552	20131219	0	MOVEX     	WCH05	WYC9B	     	     	1387464952707	0	          	  	  	
