Functional SecurityRole Name,Description,SecurityRole,EmailId
ADMIN,Administrator,GL01RW,
ADMIN,Administrator,GL05RW,
ADMIN,Administrator,MD13RW,
ADMIN,Administrator,MD14RO,
ADMIN,Administrator,MD14RW,
ADMIN,Administrator,MD17RO,
ADMIN,Administrator,PU01RW,
ADMIN,Administrator,RP01RW,
ADMIN,Administrator,SA01RW,
ADMIN,Administrator,TX01RW,
ADMINLTD,ADMINLTD,MD13RW,
ADMINLTD,ADMINLTD,SA01RW,
AUDITOR,Auditor,AP01RO,
AUDITOR,Auditor,AP02RO,
AUDITOR,Auditor,AP02RW,
AUDITOR,Auditor,AP03RO,
AUDITOR,Auditor,AP04RO,
AUDITOR,Auditor,AP04RW,
AUDITOR,Auditor,AP05RO,
AUDITOR,Auditor,AR01RO,
AUDITOR,Auditor,AR02RO,
AUDITOR,Auditor,AR03RO,
AUDITOR,Auditor,AR04RO,
AUDITOR,Auditor,AU01RO,
AUDITOR,Auditor,BU01RO,
AUDITOR,Auditor,BU02RO,
AUDITOR,Auditor,FA02RO,
AUDITOR,Auditor,FA03RO,
AUDITOR,Auditor,FA04RO,
AUDITOR,Auditor,FA05RO,
AUDITOR,Auditor,FA06RO,
AUDITOR,Auditor,FS01RO,
AUDITOR,Auditor,FS02RO,
AUDITOR,Auditor,FS03RO,
AUDITOR,Auditor,FS04RO,
AUDITOR,Auditor,FS05RO,
AUDITOR,Auditor,FS06RO,
AUDITOR,Auditor,FS07RO,
AUDITOR,Auditor,GL01RO,
AUDITOR,Auditor,GL02RO,
AUDITOR,Auditor,GL03RO,
AUDITOR,Auditor,GL04RO,
AUDITOR,Auditor,GL05RO,
AUDITOR,Auditor,IN01RO,
AUDITOR,Auditor,IN02RO,
AUDITOR,Auditor,IN03RO,
AUDITOR,Auditor,IN04RO,
AUDITOR,Auditor,IN05RO,
AUDITOR,Auditor,MD01RO,
AUDITOR,Auditor,MD04RO,
AUDITOR,Auditor,MD05RO,
AUDITOR,Auditor,MD06RO,
AUDITOR,Auditor,MD09RO,
AUDITOR,Auditor,MD10RO,
AUDITOR,Auditor,MD12RO,
AUDITOR,Auditor,MD13RO,
AUDITOR,Auditor,MD14RO,
AUDITOR,Auditor,MD15RO,
AUDITOR,Auditor,MD16RO,
AUDITOR,Auditor,MD17RO,
AUDITOR,Auditor,OR01RO,
AUDITOR,Auditor,OR02RO,
AUDITOR,Auditor,OR03RO,
AUDITOR,Auditor,OR04RO,
AUDITOR,Auditor,OR05RO,
AUDITOR,Auditor,OT01RO,
AUDITOR,Auditor,PU01RO,
AUDITOR,Auditor,PU02RO,
AUDITOR,Auditor,PU03RO,
AUDITOR,Auditor,PU04RO,
AUDITOR,Auditor,PU05RO,
AUDITOR,Auditor,RE01RO,
AUDITOR,Auditor,RE02RO,
AUDITOR,Auditor,RE03RO,
AUDITOR,Auditor,RE04RO,
AUDITOR,Auditor,RE05RO,
AUDITOR,Auditor,RP01RW,
AUDITOR,Auditor,SA01RO,
AUDITOR,Auditor,TX01RO,
BASDEPMGR,BASDEPMGR,AP02RO,
BASDEPMGR,BASDEPMGR,AP02RW,
BASDEPMGR,BASDEPMGR,AP04RW,
BASDEPMGR,BASDEPMGR,AR02RO,
BASDEPMGR,BASDEPMGR,BU01RW,
BASDEPMGR,BASDEPMGR,GL02RO,
BASDEPMGR,BASDEPMGR,RP01RO,
EPRBUYER,EPRBUYER,PU06RO,
EPRBUYER,EPRBUYER,PU06RW,
EPRVIEW,Procurement Viewers,PU07RW,
EXTAUDIT,External Auditor,AP02RO,
EXTAUDIT,External Auditor,AP04RO,
EXTAUDIT,External Auditor,MD16RO,
EXTAUDIT,External Auditor,MD17RO,
FINAPARG2,Finance AP/AR/GL 2,AP01RO,
FINAPARG2,Finance AP/AR/GL 2,AP01RW,
FINAPARG2,Finance AP/AR/GL 2,AP02RO,
FINAPARG2,Finance AP/AR/GL 2,AP02RW,
FINAPARG2,Finance AP/AR/GL 2,AP03RO,
FINAPARG2,Finance AP/AR/GL 2,AP04RO,
FINAPARG2,Finance AP/AR/GL 2,AP04RW,
FINAPARG2,Finance AP/AR/GL 2,AP05RO,
FINAPARG2,Finance AP/AR/GL 2,AR01RO,
FINAPARG2,Finance AP/AR/GL 2,AR01RW,
FINAPARG2,Finance AP/AR/GL 2,AR02RO,
FINAPARG2,Finance AP/AR/GL 2,AR02RW,
FINAPARG2,Finance AP/AR/GL 2,AR03RO,
FINAPARG2,Finance AP/AR/GL 2,AR04RO,
FINAPARG2,Finance AP/AR/GL 2,BU01RW,
FINAPARG2,Finance AP/AR/GL 2,BU02RO,
FINAPARG2,Finance AP/AR/GL 2,GL01RO,
FINAPARG2,Finance AP/AR/GL 2,GL01RW,
FINAPARG2,Finance AP/AR/GL 2,GL02RO,
FINAPARG2,Finance AP/AR/GL 2,GL03RO,
FINAPARG2,Finance AP/AR/GL 2,GL04RO,
FINAPARG2,Finance AP/AR/GL 2,GL04RW,
FINAPARG2,Finance AP/AR/GL 2,GL05RO,
FINAPARG2,Finance AP/AR/GL 2,MD12RW,
FINAPARG2,Finance AP/AR/GL 2,MD13RO,
FINAPARG2,Finance AP/AR/GL 2,MD13RW,
FINAPARG2,Finance AP/AR/GL 2,MD14RO,
FINAPARG2,Finance AP/AR/GL 2,MD14RW,
FINAPARG2,Finance AP/AR/GL 2,MD15RO,
FINAPARG2,Finance AP/AR/GL 2,MD16RO,
FINAPARG2,Finance AP/AR/GL 2,MD17RO,
FINAPARG2,Finance AP/AR/GL 2,PU02RO,
FINAPARG2,Finance AP/AR/GL 2,RP01RO,
FINAPARG2,Finance AP/AR/GL 2,SA01RO,
FINAPARG2,Finance AP/AR/GL 2,TX01RO,
FINAPARG2,Finance AP/AR/GL 2,TX01RW,
FINAPARGL,Finance AP/AR/GL,AP01RO,
FINAPARGL,Finance AP/AR/GL,AP01RW,
FINAPARGL,Finance AP/AR/GL,AP02RO,
FINAPARGL,Finance AP/AR/GL,AP02RW,
FINAPARGL,Finance AP/AR/GL,AP03RO,
FINAPARGL,Finance AP/AR/GL,AP04RO,
FINAPARGL,Finance AP/AR/GL,AP04RW,
FINAPARGL,Finance AP/AR/GL,AP05RO,
FINAPARGL,Finance AP/AR/GL,AP05RW,
FINAPARGL,Finance AP/AR/GL,AR01RO,
