Functional SecurityRole Name,Description,SecurityRole,EmailId
FULL_ACCESS,Full access to everything,USERADMIN,
FULL_ACCESS,Full access to everything,SmartHelpUser,
FULL_ACCESS,Full access to everything,SMARTHELP-Administrator,
FULL_ACCESS,Full access to everything,PORTAL-User,
FULL_ACCESS,Full access to everything,PORTAL-ContentPublisher,
FULL_ACCESS,Full access to everything,PORTAL-ContentAdministrator,
FULL_ACCESS,Full access to everything,PORTAL-AnnouncementAdministrator,
FULL_ACCESS,Full access to everything,MONGOOSE-UG-CoreIDOs,
FULL_ACCESS,Full access to everything,MONGOOSE-UG-CoreFormsEndUser,
FULL_ACCESS,Full access to everything,MONGOOSE-UG-CoreFormsDeveloper,
FULL_ACCESS,Full access to everything,MONGOOSE-UG-CoreFormsAdmin,
FULL_ACCESS,Full access to everything,MONGOOSE-LM-MGUserCreatedIDOs,
FULL_ACCESS,Full access to everything,MONGOOSE-LM-MGUserCreatedForms,
FULL_ACCESS,Full access to everything,MONGOOSE-LM-MGPAAS,
FULL_ACCESS,Full access to everything,MONGOOSE-LM-MGM3InterfaceIDOs,
FULL_ACCESS,Full access to everything,MONGOOSE-LM-MGM3InterfaceForms,
FULL_ACCESS,Full access to everything,MONGOOSE-LM-MGDeveloper,
FULL_ACCESS,Full access to everything,MONGOOSE-LM-MGDataViews,
FULL_ACCESS,Full access to everything,MONGOOSE-LM-MGCoreTrans,
FULL_ACCESS,Full access to everything,MONGOOSE-LM-MGCoreAutomation,
FULL_ACCESS,Full access to everything,MONGOOSE-LM-MGAppBuilder,
FULL_ACCESS,Full access to everything,MingleIONEnabled,
FULL_ACCESS,Full access to everything,MingleEnterprise,
FULL_ACCESS,Full access to everything,MingleDataAdministrator,
FULL_ACCESS,Full access to everything,MingleAdministrator,
FULL_ACCESS,Full access to everything,Mingle-LocatorView,
FULL_ACCESS,Full access to everything,MASHUP-User,
FULL_ACCESS,Full access to everything,MASHUP-Administrator,
FULL_ACCESS,Full access to everything,M3UI-USER,
FULL_ACCESS,Full access to everything,M3UI-StartPageAdministrator,
FULL_ACCESS,Full access to everything,M3UI-Designer,
FULL_ACCESS,Full access to everything,M3UI-DebugUser,
FULL_ACCESS,Full access to everything,M3UI-Approver,
FULL_ACCESS,Full access to everything,M3UI-Administrator,
FULL_ACCESS,Full access to everything,M3MDP-USER,
FULL_ACCESS,Full access to everything,M3MDP-TESTAPI,
FULL_ACCESS,Full access to everything,M3HealthService-Administrator,
FULL_ACCESS,Full access to everything,M3ENTERPRISESEARCH-Administrator,
FULL_ACCESS,Full access to everything,M3EC-User,
FULL_ACCESS,Full access to everything,M3EC-ClientDesigntime,
FULL_ACCESS,Full access to everything,M3EC-Administrator,
FULL_ACCESS,Full access to everything,M3DMP-Contributor,
FULL_ACCESS,Full access to everything,M3CPW-User,
FULL_ACCESS,Full access to everything,M3CE_About_Viewer,
FULL_ACCESS,Full access to everything,M3BE-SystemAdministrator,
FULL_ACCESS,Full access to everything,M3BE-ServicesAdmin,
FULL_ACCESS,Full access to everything,M3BE-PowerUser,
FULL_ACCESS,Full access to everything,M3BE-LogEnabler,
FULL_ACCESS,Full access to everything,M3BE-LicenseType6-SHUB,
FULL_ACCESS,Full access to everything,M3BE-LicenseType6-FT,
FULL_ACCESS,Full access to everything,M3BE-LicenseType4,
FULL_ACCESS,Full access to everything,M3BE-LicenseType3,
FULL_ACCESS,Full access to everything,M3BE-LicenseType2,
FULL_ACCESS,Full access to everything,M3BE-LicenseType1,
FULL_ACCESS,Full access to everything,M3BE-FndUser,
FULL_ACCESS,Full access to everything,M3BE-FndFlagAdmin,
FULL_ACCESS,Full access to everything,M3BE-FndAdmin,
FULL_ACCESS,Full access to everything,M3BE-FileViewer,
FULL_ACCESS,Full access to everything,M3BE-FileAdmin,
FULL_ACCESS,Full access to everything,M3BE-FATAdmin-PRD-UpperLimitRuleToken,
FULL_ACCESS,Full access to everything,M3BE-FATAdmin-PRD-DeleteDataToken,
FULL_ACCESS,Full access to everything,M3BE-FATAdmin-PRD-ConfigureUpperLimit,
FULL_ACCESS,Full access to everything,M3BE-FATAdmin-Exporter,
FULL_ACCESS,Full access to everything,M3BE-FATAdmin-DeleteData,
FULL_ACCESS,Full access to everything,M3BE-FATAdmin,
FULL_ACCESS,Full access to everything,M3BE-ExtensionsViewer,
FULL_ACCESS,Full access to everything,M3BE-ExtensionsAdmin,
FULL_ACCESS,Full access to everything,M3BE-DBViewer,
FULL_ACCESS,Full access to everything,M3BE-DBUpdater,
FULL_ACCESS,Full access to everything,M3BE-DBAdmin-ReadToken,
FULL_ACCESS,Full access to everything,M3BE-DBAdmin-PrdToken,
FULL_ACCESS,Full access to everything,M3BE-DBAdmin,
FULL_ACCESS,Full access to everything,M3BE-CryptoAdmin,
FULL_ACCESS,Full access to everything,M3BE-ConfigUser,
FULL_ACCESS,Full access to everything,M3BE-ConfigAdmin,
FULL_ACCESS,Full access to everything,M3BDP-USER,
FULL_ACCESS,Full access to everything,M3BDP-Administrator,
FULL_ACCESS,Full access to everything,M3ADISBIRST-User,
FULL_ACCESS,Full access to everything,M3ADISBIRST-Model-Administrator,
FULL_ACCESS,Full access to everything,M3ADISBIRST-Extension-Administrator,
FULL_ACCESS,Full access to everything,M3ADISBIRST-Consumer-Administrator,
FULL_ACCESS,Full access to everything,M3ACM-Viewer,
FULL_ACCESS,Full access to everything,M3ACM-User,
FULL_ACCESS,Full access to everything,M3A Warehouse,
FULL_ACCESS,Full access to everything,M3A SALES,
FULL_ACCESS,Full access to everything,M3A RENTAL,
FULL_ACCESS,Full access to everything,M3A Production,
FULL_ACCESS,Full access to everything,M3A Procurement,
FULL_ACCESS,Full access to everything,M3A Opportunity Management,
FULL_ACCESS,Full access to everything,M3A Finance,
FULL_ACCESS,Full access to everything,M3A Developers,
FULL_ACCESS,Full access to everything,M3A Default Subject Area,
FULL_ACCESS,Full access to everything,M3A Administrators,
FULL_ACCESS,Full access to everything,M3-DLSubscriptionAdmin,
FULL_ACCESS,Full access to everything,M3_FEATADM,
FULL_ACCESS,Full access to everything,LCLLSP-User,
FULL_ACCESS,Full access to everything,LCLLSP-SupAdmin,
