Functional SecurityRole Name,Description,SecurityRole,EmailId
FINSUPUSR,Finance Super User,AUDITOR,
FINSUPUSR,Finance Super User,FAMAINT,
FINSUPUSR,Finance Super User,GLPOST,
FINSUPUSR,Finance Super User,MISC,
FINSUPUSR,Finance Super User,MSTRDATA,
FINSUPUSR,Finance Super User,MSTRVIEW,
FINSUPUSR,Finance Super User,SECADMIN,
FINVIEW,FINVIEW,APPOST,
FINVIEW,FINVIEW,GLPOST,
FINVIEW,FINVIEW,MISC,
HELPDESK,Helpdesk,AUDITOR,
HELPDESK,Helpdesk,FINVIEW,
HELPDESK,Helpdesk,MISC,
HELPDESK,Helpdesk,MSTRVIEW,
HELPDESK,Helpdesk,SECADMIN,
ITMROUSR,ITMROUSR,MISC,
ITMROUSR,ITMROUSR,MSTRDATA,
ITMROUSR,ITMROUSR,SECADMIN,
ITSUPUSR,ITSUPUSR,MISC,
ITSUPUSR,ITSUPUSR,MSTRDATA,
ITSUPUSR,ITSUPUSR,MSTRVIEW,
ITSUPUSR,ITSUPUSR,SECADMIN,
MGMT,Management,APPOST,
MGMT,Management,FINVIEW,
MGMT,Management,MISC,
MGMTMRO,MRO Management,APPOST,
MGMTMRO,MRO Management,AUDITOR,
MGMTMRO,MRO Management,FINVIEW,
MGMTMRO,MRO Management,MISC,
MGMTMRO,MRO Management,MSTRDATA,
MROBASMNT,MROBASMNT,MISC,
MROBMAVIO,MROBMAVIO,MISC,
MROCALIBR,MROCALIBR,MSTRDATA,
MROCALIGL,MROCALIGL,FINVIEW,
MROCALIGL,MROCALIGL,MISC,
MROCALIGL,MROCALIGL,MSTRDATA,
MROCOMMER,MROCOMMER,MSTRDATA,
MROCOMMGL,MROCOMMGL,FINVIEW,
MROCOMMGL,MROCOMMGL,MISC,
MROCOMMGL,MROCOMMGL,MSTRDATA,
MROCSOFIN,MROCSOFIN,APPOST,
MROCSOFIN,MROCSOFIN,AUDITOR,
MROCSOFIN,MROCSOFIN,FINVIEW,
MROCSOFIN,MROCSOFIN,MISC,
MROCSOFIN,MROCSOFIN,MSTRDATA,
MROCSOFIN,MROCSOFIN,MSTRVIEW,
MROCUSGL,MROCUSGL,FINVIEW,
MROCUSGL,MROCUSGL,MISC,
MROCUSGL,MROCUSGL,MSTRDATA,
MROCUSUPP,MROCUSUPP,MISC,
MROCUSUPP,MROCUSUPP,MSTRDATA,
MRODIVFIN,MRO Div Finance,APPOST,
MRODIVFIN,MRO Div Finance,FINVIEW,
MRODIVFIN,MRO Div Finance,GLPOST,
MRODIVFIN,MRO Div Finance,MISC,
MRODIVFIN,MRO Div Finance,MSTRDATA,
MRODIVFIN,MRO Div Finance,MSTRVIEW,
MRODIVFIN,MRO Div Finance,SECADMIN,
MROENG1GL,MROENG1GL,FINVIEW,
MROENG1GL,MROENG1GL,MISC,
MROENGGL,MROENGGL,FINVIEW,
MROENGGL,MROENGGL,MISC,
MROFORE1,MROFORE1,MSTRDATA,
MROFOREGL,MROFOREGL,FINVIEW,
MROFOREGL,MROFOREGL,MISC,
MROFOREGL,MROFOREGL,MSTRDATA,
MROFOREOP,MROFOREOP,MSTRDATA,
MROILS,MROILS,MISC,
MROILS,MROILS,MSTRDATA,
MROILS,MROILS,MSTRVIEW,
MROILSCRS,MROILSCRS,MISC,
MROILSCRS,MROILSCRS,MSTRDATA,
MROILSCRS,MROILSCRS,MSTRVIEW,
MROILSGL,MROILSGL,FINVIEW,
MROILSGL,MROILSGL,MISC,
