Functional SecurityRole Name,Description,SecurityRole,EmailId
FSR_MROWAR1PO,MROWAR1PO
FSR_MROWAR2PO,MROWAR2PO
FSR_MROWARE1,MROWARE1
FSR_MROWARE2,MROWARE2
FSR_MROWAREGL,MROWAREGL
FSR_MROWH1CPO,MROWH1CPO
FSR_MROWH2CPO,MROWH2CPO
FSR_OVEX,OVEX
FSR_TAX,TAX
FSR_TRDCMP_RO,TRDCMP_RO
FULL_ACCESS,Full access to everything
*ADMIN,*ADMIN
*EPRVIEW,*EPRVIEW
FSR_AUDITOR,AUDITOR
FSR_BASDEPMGR,BASDEPMGR
FSR_CORPFIN,CORPFIN
FSR_DIVFIN,DIVFIN
FSR_EPRBUYER,EPRBUYER
FSR_EPRVIEW,EPRVIEW
FSR_FINAPARG2,FINAPARG2
FSR_FINAPARGL,FINAPARGL
FSR_FINAPG2,FINAPG2
FSR_FINAPGL,FINAPGL
FSR_FINAPPROV,FINAPPROV
FSR_FINARAPG2,FINARAPG2
FSR_FINARGL,FINARGL
FSR_FINBUFAG2,FINBUFAG2
FSR_FINBUFAG3,FINBUFAG3
FSR_FINBUFAGL,FINBUFAGL
FSR_FINBUREP,FINBUREP
FSR_FINGL,FINGL
FSR_FINGL002,FINGL002
FSR_FINMRO,FINMRO
FSR_FINSUPUSR,FINSUPUSR
FSR_FINVIEW,FINVIEW
FSR_ITMROUSR,ITMROUSR
FSR_ITSUPUSR,ITSUPUSR
FSR_MGMT,MGMT
FSR_MGMTMRO,MGMTMRO
FSR_MROBASMN2,MROBASMN2
FSR_MROBASMN3,MROBASMN3
FSR_MROBASMNT,MROBASMNT
FSR_MROBASUSR,MROBASUSR
FSR_MROBMAVIO,MROBMAVIO
FSR_MROCALIB2,MROCALIB2
FSR_MROCALIGL,MROCALIGL
FSR_MROCOMMER,MROCOMMER
FSR_MROCOMMGL,MROCOMMGL
FSR_MROCSOFIN,MROCSOFIN
FSR_MROCUSGL,MROCUSGL
FSR_MROCUSUPP,MROCUSUPP
FSR_MRODIVFIN,MRODIVFIN
FSR_MROENG,MROENG
FSR_MROENG1,MROENG1
FSR_MROENG1GL,MROENG1GL
FSR_MROENG2,MROENG2
FSR_MROENG3,MROENG3
FSR_MROENGGL,MROENGGL
FSR_MROFORE1,MROFORE1
FSR_MROFOREGL,MROFOREGL
FSR_MROFOREOP,MROFOREOP
FSR_MROILS,MROILS
FSR_MROILSCRS,MROILSCRS
FSR_MROILSGL,MROILSGL
FSR_MROINTENT,MROINTENT
FSR_MROLOCPU1,MROLOCPU1
FSR_MROLOCPUR,MROLOCPUR
FSR_MROLOCREC,MROLOCREC
FSR_MROMGMTGL,MROMGMTGL
FSR_MROPLAN,MROPLAN
FSR_MROPLAN1,MROPLAN1
FSR_MROPLANCO,MROPLANCO
FSR_MROPLANGL,MROPLANGL
FSR_MROPLCPO,MROPLCPO
FSR_MROPLNOPO,MROPLNOPO
FSR_MROPLPOGL,MROPLPOGL
FSR_MROPOOL1,MROPOOL1
FSR_MROPURCGL,MROPURCGL
FSR_MROPURCH,MROPURCH
FSR_MROPURCOS,MROPURCOS
FSR_MROPURGL,MROPURGL
FSR_MROPURPLA,MROPURPLA
FSR_MROSALEGL,MROSALEGL
FSR_MROSUPUSR,MROSUPUSR
FSR_MROSURP,MROSURP
FSR_MROVIEWGL,MROVIEWGL
