Name,Description,EmailId
ACCPAYREPO,Accounts Payable Reporting,,
APINVPROCS,AP Invoice Processing,,
APMANAGMNT,AP Management,,
APPAYMPROC,AP Payment Processing,,
ARBILLPROC,AR/CO Billing Process,,
ARCASHREPO,Accounts Receivable Reporting,,
ARCRCOLPRC,AR Credit and Collections Process,,
ARMANAGMNT,AR Management,,
CSTACCIVAL,Cost Accounting & Inventory Valuation,,
CUSMASUPDT,Customer Master Update,,
FAMGMTREPO,Fixed Asset Management and Reporting,,
FINCTRLING,Financial Controlling,,
FINREPMGMT,Finance Reporting Management,,
FINRSKMGMT,Finance Risk Management,,
FINTAXCOMP,Taxation and Compliance Management,,
FINVIEWACC,Finance View Only Access,,
GNLEDGACNT,General Ledger Accounting,,
GNLEDGMNGT,General Ledger Management,,
GNLEDGREPO,General Ledger Reporting,,
INTCSTREPO,Internal Cost Reporting,,
ITFINANLST,IT Finance Analyst,,
PRODCSTANL,Product Costing and Analysis,,
TMACCREPO,Time Accounting and Reporting,,
TRESRYMNGT,Treasury Management,,
VENMASUPDT,Vendor Master Update,,
